cp	min_split	min_bucket	max_depth	ganancia_promedio
-0.5	800	5	10	8376667
-0.5	800	5	12	8620667
-0.5	800	5	14	8400000
-0.5	800	3	4	7806667
-0.5	800	3	6	9284667
-0.5	800	3	8	9327333
-0.5	800	3	10	8606667
-0.5	800	3	12	8211333
-0.5	800	3	14	7893333
-0.5	800	2	4	7828000
-0.5	800	2	6	9308667
-0.5	800	2	8	9254000
-0.5	800	2	10	8975333
-0.5	800	2	12	8480000
-0.5	800	2	14	7698667
-0.5	600	50	4	8399333
-0.5	600	50	6	9918667
-0.5	600	50	8	8840000
-0.5	600	50	10	8126000
-0.5	600	50	12	7656000
-0.5	600	50	14	7624667
-0.5	600	20	4	7726667
-0.5	600	20	6	9696667
-0.5	600	20	8	8934667
-0.5	600	20	10	7716000
-0.5	600	20	12	7781333
-0.5	600	20	14	7327333
-0.5	600	10	4	7976667
-0.5	600	10	6	9386000
-0.5	600	10	8	9386000
-0.5	600	10	10	8686667
-0.5	600	10	12	8554667
-0.5	600	10	14	8356667
-0.5	600	5	4	7968667
-0.5	600	5	6	9224667
-0.5	600	5	8	9596000
-0.5	600	5	10	8454667
-0.5	600	5	12	8652667
-0.5	600	5	14	8652667
-0.5	600	3	4	7801333
-0.5	600	3	6	9300667
-0.5	600	3	8	9316000
-0.5	600	3	10	8726667
-0.5	600	3	12	8316667
-0.5	600	3	14	8278000
-0.5	600	2	4	7822667
-0.5	600	2	6	9335333
-0.5	600	2	8	9270000
-0.5	600	2	10	9092667
-0.5	600	2	12	8616000
-0.5	600	2	14	7834667
-0.5	400	50	4	8282667
-0.5	400	50	6	9936667
-0.5	400	50	8	8706000
-0.5	400	50	10	7614667
-0.5	400	50	12	7037333
-0.5	400	50	14	6900667
-0.5	400	20	4	7715333
-0.5	400	20	6	9711333
-0.5	400	20	8	8860000
-0.5	400	20	10	7431333
-0.5	400	20	12	7174000
-0.5	400	20	14	6366667
-0.5	400	10	4	7976667
-0.5	400	10	6	9357333
-0.5	400	10	8	9292667
-0.5	400	10	10	8483333
-0.5	400	10	12	8164667
-0.5	400	10	14	7027333
-0.5	400	5	4	7968667
-0.5	400	5	6	9118667
-0.5	400	5	8	9454667
-0.5	400	5	10	8266667
-0.5	400	5	12	8473333
-0.5	400	5	14	7988000
-0.5	400	3	4	7801333
-0.5	400	3	6	9288667
-0.5	400	3	8	9275333
-0.5	400	3	10	8511333
-0.5	400	3	12	8050000
-0.5	400	3	14	7920667
-0.5	400	2	4	7822667
-0.5	400	2	6	9316667
-0.5	400	2	8	9229333
-0.5	400	2	10	8954000
-0.5	400	2	12	8387333
-0.5	400	2	14	7590667
-0.5	200	50	4	8322667
-0.5	200	50	6	9940000
-0.5	200	50	8	8595333
-0.5	200	50	10	7236667
-0.5	200	50	12	6429333
-0.5	200	50	14	6040000
-0.5	200	20	4	7755333
-0.5	200	20	6	9696000
-0.5	200	20	8	8702667
-0.5	200	20	10	7065333
-0.5	200	20	12	6492000
-0.5	200	20	14	5214667
-0.5	200	10	4	8016667
-0.5	200	10	6	9337333
-0.5	200	10	8	9188667
-0.5	200	10	10	8164000
-0.5	200	10	12	7775333
-0.5	200	10	14	6164000
-0.5	200	5	4	8008667
-0.5	200	5	6	9232000
-0.5	200	5	8	9422667
-0.5	200	5	10	8268000
-0.5	200	5	12	8473333
-0.5	200	5	14	7888667
-0.5	200	3	4	7841333
-0.5	200	3	6	9328667
-0.5	200	3	8	9230667
-0.5	200	3	10	8514667
-0.5	200	3	12	8054667
-0.5	200	3	14	7528000
-0.5	200	2	4	7862667
-0.5	200	2	6	9356667
-0.5	200	2	8	9184000
-0.5	200	2	10	8867333
-0.5	200	2	12	8477333
-0.5	200	2	14	7342667
-0.5	100	50	4	8322667
-0.5	100	50	6	9910667
-0.5	100	50	8	8576667
-0.5	100	50	10	7164000
-0.5	100	50	12	5745333
-0.5	100	50	14	4705333
-0.5	100	20	4	7755333
-0.5	100	20	6	9668667
-0.5	100	20	8	8785333
-0.5	100	20	10	7164000
-0.5	100	20	12	6549333
-0.5	100	20	14	4749333
-0.5	100	10	4	8016667
-0.5	100	10	6	9410667
-0.5	100	10	8	9267333
-0.5	100	10	10	8308667
-0.5	100	10	12	8044667
-0.5	100	10	14	6314000
-0.5	100	5	4	8008667
-0.5	100	5	6	9232000
-0.5	100	5	8	9467333
-0.5	100	5	10	8368667
-0.5	100	5	12	8590667
-0.5	100	5	14	7952000
-0.5	100	3	4	7841333
-0.5	100	3	6	9328667
-0.5	100	3	8	9230667
-0.5	100	3	10	8525333
-0.5	100	3	12	8109333
-0.5	100	3	14	7631333
-0.5	100	2	4	7862667
-0.5	100	2	6	9356667
-0.5	100	2	8	9184000
-0.5	100	2	10	8856000
-0.5	100	2	12	8471333
-0.5	100	2	14	7247333
-0.5	50	20	4	7755333
-0.5	50	20	6	9726000
-0.5	50	20	8	8880667
-0.5	50	20	10	7282667
-0.5	50	20	12	6354667
-0.5	50	20	14	4617333
-0.5	50	10	4	8016667
-0.5	50	10	6	9443333
-0.5	50	10	8	9372667
-0.5	50	10	10	8427333
-0.5	50	10	12	8102000
-0.5	50	10	14	6066000
-0.5	50	5	4	8008667
-0.5	50	5	6	9257333
-0.5	50	5	8	9554667
-0.5	50	5	10	8470667
-0.5	50	5	12	8524667
-0.5	50	5	14	7950667
-0.5	50	3	4	7841333
-0.5	50	3	6	9330000
-0.5	50	3	8	9332000
-0.5	50	3	10	8612667
-0.5	50	3	12	8142667
-0.5	50	3	14	7654667
-0.5	50	2	4	7862667
-0.5	50	2	6	9358000
-0.5	50	2	8	9306000
-0.5	50	2	10	8942000
-0.5	50	2	12	8570667
-0.5	50	2	14	7313333
-0.5	20	10	4	8016667
-0.5	20	10	6	9499333
-0.5	20	10	8	9600000
-0.5	20	10	10	8774000
-0.5	20	10	12	8512000
-0.5	20	10	14	6324667
-0.5	20	5	4	8008667
-0.5	20	5	6	9237333
-0.5	20	5	8	9603333
-0.5	20	5	10	8509333
-0.5	20	5	12	8606667
-0.5	20	5	14	7848000
-0.5	20	3	4	7841333
-0.5	20	3	6	9292000
-0.5	20	3	8	9329333
-0.5	20	3	10	8656667
-0.5	20	3	12	8115333
-0.5	20	3	14	7686667
-0.5	20	2	4	7862667
-0.5	20	2	6	9370000
-0.5	20	2	8	9324000
-0.5	20	2	10	9007333
-0.5	20	2	12	8548667
-0.5	20	2	14	7257333
-0.5	10	5	4	8014667
-0.5	10	5	6	9188667
-0.5	10	5	8	9588667
-0.5	10	5	10	8443333
-0.5	10	5	12	8576667
