fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 012514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	478	TRUE	999983	0.0159826797151617	0.206529406826785	5810	993	0.0185282899807567	13618000	57
20220529 012555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	236	TRUE	999983	0.03582289501739	0.368472026108008	2984	1024	0.0179414197504761	13395000	58
20220529 012743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	435	TRUE	999983	0.0101123410138467	0.471815995125423	1556	1022	0.0135288571429117	13416000	59
20220529 012752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	999983	0.284357609285116	0.204329954926862	7684	953	0.0199922975287185	12562000	60
20220529 012946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	771	TRUE	999983	0.0118722768403737	0.399148033792698	4632	613	0.0183646071899839	13529000	61
20220529 013144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	999983	0.0102864538386804	0.922697677420828	341	730	0.0132009542665791	12836000	62
20220529 013154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.299656853411783	0.200570529378481	7991	379	0.0280433931745683	11946000	63
20220529 013334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	772	TRUE	999983	0.0160412064316323	0.459943685947066	6454	1020	0.0175140938838076	13628000	64
20220529 013503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	701	TRUE	999983	0.0148867208721978	0.202236463239249	3314	1018	0.0159022703248893	13250000	65
20220529 013551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	360	TRUE	999983	0.0177586646506743	0.202191137850799	7722	731	0.0206433994808843	13124000	66
20220529 013703	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	478	TRUE	999983	0.0100163754827612	0.797026122095649	3540	1021	0.0120618830266166	12981000	67
20220529 013853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	629	TRUE	999983	0.0101226711538725	0.498154232819508	5194	899	0.0179096183402018	13623000	68
20220529 013901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	10	TRUE	999983	0.29885523083331	0.858564763171015	2535	1024	0.0135047727305389	12611000	69
